Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2019,1,Chubut,14.9810252792514,48.8719413603536
2019,1,Córdoba,28.5009383928008,93.0882798357388
2019,1,Corrientes,9.14971080471848,34.7465674763023
2019,1,Entre Ríos,15.3577736644573,51.3645702782399
2019,1,Formosa,9.47923993657784,37.2430090586845
2019,1,Jujuy,11.571242380758,45.2485752675717
2019,1,La Pampa,22.9541177234084,69.6671262556628
2019,1,La Rioja,6.70633935406451,25.1923600046633
2019,1,Mendoza,7.15714950847798,25.6467311146483
2019,1,Misiones,11.0685044832187,40.6359776760786
2019,1,Neuquén,12.2635018656288,41.197667056177
2019,1,Río Negro,12.263605324145,39.8699287705172
2019,1,Salta,12.4755188434398,51.5093627659073
2019,1,San Juan,5.72452965436998,22.4725229909667
2019,1,San Luis,10.7148572846066,37.4390124561379
2019,1,Santa Cruz,16.0713629255519,54.0093891359714
2019,1,Santa Fe,17.1429404102331,54.5175013765944
2019,1,Santiago Del Estero,11.3186507985856,45.6063870655242
2019,1,Tierra Del Fuego,27.3302735888419,92.1796469784086
2019,1,Tucumán,7.11311445628185,28.7147141187092
2018,4,Buenos Aires,15.4662940793018,47.4464366257708
2018,4,Capital Federal,24.4647692415946,58.5396196853186
2018,4,Catamarca,8.18805805478396,32.1888823851151
2018,4,Chaco,8.42885279641681,31.5359441027308
2018,4,Chubut,15.0328857857745,49.0413865523475
2018,4,Córdoba,28.5616639211229,93.2867060024082
2018,4,Corrientes,9.25077607789099,35.130464063112
2018,4,Entre Ríos,15.2485598057678,50.9993535179399
2018,4,Formosa,9.85644298740569,38.725125809953
2018,4,Jujuy,13.0310395496486,50.957150232318
2018,4,La Pampa,23.0182159560691,69.8612267316621
2018,4,La Rioja,6.44544376487196,24.2123835146411
2018,4,Mendoza,5.99526128076171,21.4832683001823
2018,4,Misiones,11.122786374161,40.8352468852313
2018,4,Neuquén,12.3036641165039,41.3326653306613
2018,4,Río Negro,12.4588525545891,40.5047783493943
2018,4,Salta,12.6672034176328,52.3009446294533
2018,4,San Juan,5.67796356363343,22.2897540229415
2018,4,San Luis,11.0746080548442,38.6961277926595
2018,4,Santa Cruz,16.2056550880139,54.4608527650783
2018,4,Santa Fe,17.1520640913549,54.546547071484
2018,4,Santiago Del Estero,10.9345809929326,44.0590473877894
2018,4,Tierra Del Fuego,27.7031971687361,93.438808748255
2018,4,Tucumán,7.54020732262501,30.4389097539008
2018,3,Buenos Aires,15.6640786598638,48.1605949924774
2018,3,Capital Federal,24.6211841013169,58.8417348044182
2018,3,Catamarca,20.3503733205468,80.0009617234084
